window,scenario,frames,checks,decisions,pep_report_ms,cm_profile_ms,pdp_ms,pe_pep_ms,zta_interaction_ms,control_bytes
0,normal,455,50,0,0.085792,0.077458,0.010542,0.001041,0.174833,0
1,speeding,455,50,1,0.085583,0.082417,0.010417,0.023166,0.201583,144
2,harsh_accel,455,50,1,0.078792,0.071917,0.009208,0.021333,0.18125,143
3,lane_change,455,50,1,0.080959,0.073583,0.009667,0.022375,0.186584,154
4,collision,455,50,1,0.086708,0.0735,0.008875,0.020542,0.189625,145
5,door_unlock_accel,455,50,2,0.078958,0.075042,0.010041,0.042459,0.2065,309
6,normal,455,50,0,0.083584,0.069291,0.00825,0.00075,0.161875,0
7,speeding,455,50,1,0.086333,0.075208,0.009167,0.021625,0.192333,144
8,harsh_accel,455,50,1,0.08,0.069875,0.008458,0.02,0.178333,143
9,lane_change,455,50,1,0.082084,0.070791,0.0085,0.021084,0.182459,154
10,collision,455,50,1,0.086875,0.075,0.009333,0.021917,0.193125,145
11,door_unlock_accel,455,50,2,0.083,0.069334,0.008583,0.040292,0.201209,309
12,normal,455,50,0,0.085542,0.071542,0.008208,0.000667,0.165959,0
13,speeding,455,50,1,0.078875,0.071333,0.009209,0.021875,0.181292,144
14,harsh_accel,455,50,1,0.091125,0.076583,0.008458,0.029084,0.20525,143
15,lane_change,455,50,1,0.085875,0.079458,0.009375,0.023167,0.197875,154
16,collision,455,50,1,0.078042,0.072041,0.009334,0.021541,0.180958,145
17,door_unlock_accel,455,50,2,0.086959,0.071916,0.008625,0.037667,0.205167,309
18,normal,455,50,0,0.085459,0.074583,0.009125,0.00075,0.169917,0
19,speeding,455,50,1,0.079083,0.070042,0.008583,0.021583,0.179291,144
20,harsh_accel,455,50,1,0.088042,0.074625,0.008542,0.0195,0.190709,143
21,lane_change,455,50,1,0.08575,0.077208,0.009125,0.022917,0.195,154
22,collision,455,50,1,0.078959,0.070125,0.008458,0.01975,0.177292,145
23,door_unlock_accel,455,50,2,0.085833,0.077125,0.009625,0.037875,0.210458,309
24,normal,455,50,0,0.085083,0.076,0.008792,0.000791,0.170666,0
25,speeding,455,50,1,0.082833,0.071417,0.0085,0.0195,0.18225,144
26,harsh_accel,455,50,1,0.086792,0.07775,0.009166,0.023917,0.197625,143
27,lane_change,455,50,1,0.083542,0.081083,0.009167,0.023416,0.197208,154
28,collision,455,50,1,0.083084,0.069041,0.008459,0.019291,0.179875,145
29,door_unlock_accel,455,50,2,0.084917,0.07675,0.009375,0.041375,0.212417,309
30,normal,455,50,0,0.080833,0.074375,0.008667,0.000791,0.164666,0
31,speeding,455,50,1,0.086542,0.072916,0.008042,0.019417,0.186917,144
32,harsh_accel,455,50,1,0.084959,0.076416,0.008959,0.023791,0.194125,143
33,lane_change,455,50,1,0.077334,0.073,0.009166,0.02325,0.18275,154
34,collision,455,50,1,0.087208,0.0745,0.00825,0.0195,0.189458,145
35,door_unlock_accel,455,50,2,0.085625,0.075667,0.009708,0.040708,0.211708,309
36,normal,455,50,0,0.076958,0.07125,0.008709,0.000791,0.157708,0
37,speeding,455,50,1,0.086417,0.08275,0.009167,0.019916,0.19825,144
38,harsh_accel,455,50,1,0.085,0.078375,0.009375,0.021917,0.194667,143
39,lane_change,455,50,1,0.078833,0.069875,0.008417,0.021917,0.179042,154
40,collision,455,50,1,0.086042,0.076667,0.00925,0.021625,0.193584,145
41,door_unlock_accel,455,50,2,0.082916,0.07625,0.009334,0.040416,0.208916,309
42,normal,455,50,0,0.079667,0.068,0.008208,0.000709,0.156584,0
43,speeding,455,50,1,0.086875,0.075,0.009208,0.021708,0.192791,144
44,harsh_accel,455,50,1,0.077084,0.077625,0.009166,0.020959,0.184834,143
45,lane_change,455,50,1,0.084708,0.082458,0.008417,0.020333,0.195916,154
46,collision,455,50,1,0.08575,0.07525,0.009291,0.023709,0.194,145
47,door_unlock_accel,455,50,2,0.0775,0.072167,0.009625,0.040416,0.199708,309
48,normal,455,50,0,0.085125,0.068958,0.008167,0.000708,0.162958,0
49,speeding,455,50,1,0.089083,0.075834,0.009,0.021208,0.195125,144
50,harsh_accel,455,50,1,0.076958,0.070833,0.008959,0.021041,0.177791,143
51,lane_change,455,50,1,0.085083,0.076709,0.008291,0.020125,0.190208,154
52,collision,455,50,1,0.085667,0.076833,0.008917,0.021125,0.192542,145
53,door_unlock_accel,455,50,2,0.079208,0.067917,0.008375,0.039375,0.194875,309
54,normal,455,50,0,0.086625,0.075042,0.008166,0.000625,0.170458,0
55,speeding,455,50,1,0.086542,0.07675,0.009417,0.020791,0.1935,144
56,harsh_accel,455,50,1,0.095375,0.070084,0.01,0.026791,0.20225,143
57,lane_change,455,50,1,0.084666,0.075,0.008292,0.020458,0.188416,154
58,collision,455,50,1,0.085916,0.07625,0.009125,0.021042,0.192333,145
59,door_unlock_accel,455,50,2,0.077333,0.076584,0.009375,0.040666,0.203958,309
60,normal,455,50,0,0.084958,0.073167,0.007875,0.000708,0.166708,0
61,speeding,455,50,1,0.086708,0.076,0.008958,0.0205,0.192166,144
62,harsh_accel,455,50,1,0.077542,0.073875,0.008958,0.020875,0.18125,143
63,lane_change,455,50,1,0.085625,0.0785,0.009167,0.021208,0.1945,154
64,collision,455,50,1,0.086375,0.080417,0.009125,0.021291,0.197208,145
65,door_unlock_accel,455,50,2,0.08025,0.072584,0.009416,0.040042,0.202292,309
66,normal,455,50,0,0.085333,0.074333,0.008834,0.000708,0.169208,0
67,speeding,455,50,1,0.091458,0.077,0.009167,0.020208,0.197833,144
68,harsh_accel,455,50,1,0.084833,0.068125,0.008292,0.02075,0.182,143
69,lane_change,455,50,1,0.085334,0.077375,0.009,0.022125,0.193834,154
70,collision,455,50,1,0.083042,0.076666,0.009209,0.020958,0.189875,145
71,door_unlock_accel,455,50,2,0.083291,0.073375,0.008417,0.03625,0.201333,309
72,normal,455,50,0,0.08325,0.079959,0.008708,0.000708,0.172625,0
73,speeding,455,50,1,0.0825,0.076792,0.008875,0.020708,0.188875,144
74,harsh_accel,455,50,1,0.082541,0.070875,0.008209,0.0185,0.180125,143
75,lane_change,455,50,1,0.08225,0.077583,0.009083,0.022459,0.191375,154
76,collision,455,50,1,0.077625,0.075291,0.009125,0.020792,0.182833,145
77,door_unlock_accel,455,50,2,0.083458,0.075834,0.008375,0.035916,0.203583,309
78,normal,455,50,0,0.082959,0.075708,0.008792,0.00075,0.168209,0
79,speeding,455,50,1,0.077625,0.073833,0.009167,0.02075,0.181375,144
80,harsh_accel,455,50,1,0.082042,0.079167,0.009041,0.019792,0.190042,143
81,lane_change,455,50,1,0.082958,0.077417,0.009083,0.022208,0.191666,154
82,collision,455,50,1,0.079917,0.072375,0.009083,0.020583,0.181958,145
83,door_unlock_accel,455,50,2,0.0835,0.077875,0.009583,0.039334,0.210292,309
84,normal,455,50,0,0.082792,0.079458,0.008917,0.000667,0.171834,0
85,speeding,455,50,1,0.084334,0.069041,0.008167,0.019583,0.181125,144
86,harsh_accel,455,50,1,0.081791,0.076917,0.009042,0.020791,0.188541,143
87,lane_change,455,50,1,0.082625,0.076625,0.009,0.022083,0.190333,154
88,collision,455,50,1,0.083791,0.070417,0.00825,0.018708,0.181166,145
89,door_unlock_accel,455,50,2,0.082833,0.080875,0.009292,0.039458,0.212458,309
90,normal,455,50,0,0.082458,0.075708,0.008709,0.000791,0.167666,0
91,speeding,455,50,1,0.084625,0.073833,0.008333,0.018709,0.1855,144
92,harsh_accel,455,50,1,0.083792,0.077458,0.009125,0.02175,0.192125,143
