scenario,trial,expected_rule,intensity,fired,detected
normal,0,,1.08,,False
normal,1,,1.046,,False
normal,2,,1.076,,False
normal,3,,0.971,,False
normal,4,,0.865,,False
normal,5,,0.816,,False
normal,6,,0.923,,False
normal,7,,0.787,,False
normal,8,,0.865,,False
normal,9,,1.006,,False
normal,10,,1.037,,False
normal,11,,0.98,,False
normal,12,,0.973,,False
normal,13,,0.956,,False
normal,14,,1.034,,False
normal,15,,1.165,,False
normal,16,,1.179,,False
normal,17,,1.153,,False
normal,18,,1.062,,False
normal,19,,1.153,,False
normal,20,,1.148,,False
normal,21,,0.86,,False
normal,22,,1.16,,False
normal,23,,1.158,,False
normal,24,,1.19,,False
normal,25,,0.83,,False
normal,26,,1.218,,False
normal,27,,1.218,,False
normal,28,,0.814,,False
normal,29,,1.069,,False
normal,30,,1.075,,False
normal,31,,0.802,,False
normal,32,,0.875,,False
normal,33,,1.099,,False
normal,34,,1.174,,False
normal,35,,1.021,,False
normal,36,,0.864,,False
normal,37,,0.9,,False
normal,38,,0.857,,False
normal,39,,0.945,,False
normal,40,,0.805,,False
normal,41,,0.945,,False
normal,42,,1.214,,False
normal,43,,1.065,,False
normal,44,,0.878,,False
normal,45,,0.893,,False
normal,46,,1.179,,False
normal,47,,1.09,,False
normal,48,,1.115,,False
normal,49,,0.789,,False
speeding,0,excessive-speeding,1.049,excessive-speeding,True
speeding,1,excessive-speeding,0.875,excessive-speeding,True
speeding,2,excessive-speeding,1.007,excessive-speeding,True
speeding,3,excessive-speeding,0.8,excessive-speeding,True
speeding,4,excessive-speeding,0.857,excessive-speeding,True
speeding,5,excessive-speeding,0.912,excessive-speeding,True
speeding,6,excessive-speeding,0.901,excessive-speeding,True
speeding,7,excessive-speeding,0.845,excessive-speeding,True
speeding,8,excessive-speeding,0.864,excessive-speeding,True
speeding,9,excessive-speeding,0.962,excessive-speeding,True
speeding,10,excessive-speeding,1.024,excessive-speeding,True
speeding,11,excessive-speeding,0.82,excessive-speeding,True
speeding,12,excessive-speeding,1.149,excessive-speeding,True
speeding,13,excessive-speeding,0.928,excessive-speeding,True
speeding,14,excessive-speeding,0.805,excessive-speeding,True
speeding,15,excessive-speeding,1.197,excessive-speeding,True
speeding,16,excessive-speeding,1.09,excessive-speeding,True
speeding,17,excessive-speeding,0.812,excessive-speeding,True
speeding,18,excessive-speeding,0.98,excessive-speeding,True
speeding,19,excessive-speeding,1.097,excessive-speeding,True
speeding,20,excessive-speeding,1.184,excessive-speeding,True
speeding,21,excessive-speeding,1.072,excessive-speeding,True
speeding,22,excessive-speeding,1.217,excessive-speeding,True
speeding,23,excessive-speeding,0.887,excessive-speeding,True
speeding,24,excessive-speeding,0.886,excessive-speeding,True
speeding,25,excessive-speeding,0.857,excessive-speeding,True
speeding,26,excessive-speeding,0.984,excessive-speeding,True
speeding,27,excessive-speeding,1.229,excessive-speeding,True
speeding,28,excessive-speeding,0.875,excessive-speeding,True
speeding,29,excessive-speeding,0.988,excessive-speeding,True
speeding,30,excessive-speeding,0.834,excessive-speeding,True
speeding,31,excessive-speeding,0.851,excessive-speeding,True
speeding,32,excessive-speeding,1.082,excessive-speeding,True
speeding,33,excessive-speeding,1.173,excessive-speeding,True
speeding,34,excessive-speeding,0.906,excessive-speeding,True
speeding,35,excessive-speeding,1.097,excessive-speeding,True
speeding,36,excessive-speeding,1.002,excessive-speeding,True
speeding,37,excessive-speeding,1.22,excessive-speeding,True
speeding,38,excessive-speeding,1.24,excessive-speeding,True
speeding,39,excessive-speeding,0.983,excessive-speeding,True
speeding,40,excessive-speeding,1.241,excessive-speeding,True
speeding,41,excessive-speeding,1.046,excessive-speeding,True
speeding,42,excessive-speeding,0.889,excessive-speeding,True
speeding,43,excessive-speeding,0.902,excessive-speeding,True
speeding,44,excessive-speeding,0.859,excessive-speeding,True
speeding,45,excessive-speeding,1.154,excessive-speeding,True
speeding,46,excessive-speeding,0.996,excessive-speeding,True
speeding,47,excessive-speeding,0.869,excessive-speeding,True
speeding,48,excessive-speeding,1.174,excessive-speeding,True
speeding,49,excessive-speeding,1.004,excessive-speeding,True
harsh_accel,0,harsh-acceleration,1.198,harsh-acceleration,True
harsh_accel,1,harsh-acceleration,1.114,harsh-acceleration,True
harsh_accel,2,harsh-acceleration,1.188,harsh-acceleration,True
harsh_accel,3,harsh-acceleration,1.026,harsh-acceleration,True
harsh_accel,4,harsh-acceleration,0.784,harsh-acceleration,True
harsh_accel,5,harsh-acceleration,1.039,harsh-acceleration,True
harsh_accel,6,harsh-acceleration,1.221,harsh-acceleration,True
harsh_accel,7,harsh-acceleration,0.828,harsh-acceleration,True
harsh_accel,8,harsh-acceleration,0.848,harsh-acceleration,True
harsh_accel,9,harsh-acceleration,1.24,harsh-acceleration,True
harsh_accel,10,harsh-acceleration,0.875,harsh-acceleration,True
harsh_accel,11,harsh-acceleration,1.061,harsh-acceleration,True
harsh_accel,12,harsh-acceleration,1.149,harsh-acceleration,True
harsh_accel,13,harsh-acceleration,0.913,harsh-acceleration,True
harsh_accel,14,harsh-acceleration,1.111,harsh-acceleration,True
harsh_accel,15,harsh-acceleration,0.804,harsh-acceleration,True
harsh_accel,16,harsh-acceleration,1.245,harsh-acceleration,True
harsh_accel,17,harsh-acceleration,1.045,harsh-acceleration,True
harsh_accel,18,harsh-acceleration,0.822,harsh-acceleration,True
harsh_accel,19,harsh-acceleration,1.185,harsh-acceleration,True
