scenario,intensity,trials,detection_rate
speeding,0.4,20,0.0
speeding,0.525,20,0.0
speeding,0.65,20,0.0
speeding,0.775,20,40.0
speeding,0.9,20,100.0
speeding,1.025,20,100.0
speeding,1.15,20,100.0
speeding,1.275,20,100.0
speeding,1.4,20,100.0
harsh_accel,0.4,20,0.0
harsh_accel,0.525,20,0.0
harsh_accel,0.65,20,100.0
harsh_accel,0.775,20,100.0
harsh_accel,0.9,20,100.0
harsh_accel,1.025,20,100.0
harsh_accel,1.15,20,100.0
harsh_accel,1.275,20,100.0
harsh_accel,1.4,20,100.0
lane_change,0.4,20,0.0
lane_change,0.525,20,0.0
lane_change,0.65,20,25.0
lane_change,0.775,20,100.0
lane_change,0.9,20,100.0
lane_change,1.025,20,100.0
lane_change,1.15,20,100.0
lane_change,1.275,20,100.0
lane_change,1.4,20,100.0
collision,0.4,20,100.0
collision,0.525,20,100.0
collision,0.65,20,100.0
collision,0.775,20,100.0
collision,0.9,20,100.0
collision,1.025,20,100.0
collision,1.15,20,100.0
collision,1.275,20,100.0
collision,1.4,20,100.0
door_unlock_accel,0.4,20,100.0
door_unlock_accel,0.525,20,100.0
door_unlock_accel,0.65,20,100.0
door_unlock_accel,0.775,20,100.0
door_unlock_accel,0.9,20,100.0
door_unlock_accel,1.025,20,100.0
door_unlock_accel,1.15,20,100.0
door_unlock_accel,1.275,20,100.0
door_unlock_accel,1.4,20,100.0
