attack,trial,detected,reasons,flagged_ids,isolated_nodes
none,0,False,,,
none,1,False,,,
none,2,False,,,
none,3,False,,,
none,4,False,,,
none,5,False,,,
none,6,False,,,
none,7,False,,,
none,8,False,,,
none,9,False,,,
none,10,False,,,
none,11,False,,,
none,12,False,,,
none,13,False,,,
none,14,False,,,
none,15,False,,,
none,16,False,,,
none,17,False,,,
none,18,False,,,
none,19,False,,,
none,20,False,,,
none,21,False,,,
none,22,False,,,
none,23,False,,,
none,24,False,,,
none,25,False,,,
none,26,False,,,
none,27,False,,,
none,28,False,,,
none,29,False,,,
none,30,False,,,
none,31,False,,,
none,32,False,,,
none,33,False,,,
none,34,False,,,
none,35,False,,,
none,36,False,,,
none,37,False,,,
none,38,False,,,
none,39,False,,,
none,40,False,,,
none,41,False,,,
none,42,False,,,
none,43,False,,,
none,44,False,,,
none,45,False,,,
none,46,False,,,
none,47,False,,,
none,48,False,,,
none,49,False,,,
fabrication,0,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,1,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,2,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,3,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,4,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,5,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,6,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,7,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,8,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,9,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,10,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,11,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,12,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,13,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,14,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,15,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,16,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,17,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,18,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,19,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,20,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,21,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,22,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,23,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,24,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,25,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,26,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,27,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,28,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,29,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,30,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,31,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,32,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,33,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,34,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,35,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,36,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,37,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,38,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,39,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,40,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,41,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
fabrication,42,True,rate_error_pct|skew_error_ppm,id=0x244,powertrain_ecu
